Id2,Geography,abbr,IncomeP_M,IncomeP_F,P_M,P_F,Income_M,Income_F,M,F
1,Alabama,AL,396012,514163,396012,514163,1883219,1934155,1883219,1934155
2,Alaska,AK,37392,43235,37392,43235,334231,302865,334231,302865
4,Arizona,AZ,558163,640898,558163,640898,2674105,2700203,2674105,2700203
5,Arkansas,AR,240527,303355,240527,303355,1168599,1170375,1168599,1170375
6,California,CA,2883050,3376048,2883050,3376048,15905148,15895982,15905148,15895982
8,Colorado,CO,293198,337588,293198,337588,2323749,2282614,2323749,2282614
9,Connecticut,CT,164880,209892,164880,209892,1530756,1580101,1530756,1580101
10,Delaware,DE,49496,64012,49496,64012,389949,406154,389949,406154
11,District of Columbia,DC,47584,63082,47584,63082,248370,265291,248370,265291
12,Florida,FL,1451114,1760501,1451114,1760501,7999203,8259392,7999203,8259392
13,Georgia,GA,795388,1002581,795388,1002581,3946233,4079657,3946233,4079657
15,Hawaii,HI,71319,85410,71319,85410,620155,602920,620155,602920
16,Idaho,ID,107009,130972,107009,130972,689585,675517,689585,675517
17,Illinois,IL,792846,1011689,792846,1011689,5351412,5415901,5351412,5415901
18,Indiana,IN,427710,546508,427710,546508,2701349,2715893,2701349,2715893
19,Iowa,IA,163465,204351,163465,204351,1329405,1307636,1329405,1307636
20,Kansas,KS,175534,207178,175534,207178,1220725,1217994,1220725,1217994
21,Kentucky,KY,370766,446776,370766,446776,1723960,1733857,1723960,1733857
22,Louisiana,LA,388006,508518,388006,508518,1795895,1826106,1795895,1826106
23,Maine,ME,79771,103020,79771,103020,549072,562146,549072,562146
24,Maryland,MD,255434,334384,255434,334384,2560200,2685359,2560200,2685359
25,Massachusetts,MA,327326,429909,327326,429909,2829356,2923081,2829356,2923081
26,Michigan,MI,714862,853982,714862,853982,4017455,4100488,4017455,4100488
27,Minnesota,MN,278568,332786,278568,332786,2370111,2351087,2370111,2351087
28,Mississippi,MS,270536,352577,270536,352577,1124204,1148153,1124204,1148153
29,Missouri,MO,401848,506780,401848,506780,2463405,2506625,2463405,2506625
30,Montana,MT,70703,83251,70703,83251,427513,416485,427513,416485
31,Nebraska,NE,97520,129790,97520,129790,811763,789048,811763,789048
32,Nevada,NV,200900,225830,200900,225830,1198435,1175603,1198435,1175603
33,New Hampshire,NH,54165,63818,54165,63818,580568,588953,580568,588953
34,New Jersey,NJ,424554,548349,424554,548349,3835865,3953391,3835865,3953391
35,New Mexico,NM,196919,239234,196919,239234,807848,801524,807848,801524
36,New York,NY,1360616,1702322,1360616,1702322,7935326,8230260,7935326,8230260
37,North Carolina,NC,736773,931913,736773,931913,3956239,4066869,3956239,4066869
38,North Dakota,ND,35007,47257,35007,47257,326689,303595,326689,303595
39,Ohio,OH,792764,993016,792764,993016,4708891,4781732,4708891,4781732
40,Oklahoma,OK,274577,349263,274577,349263,1570847,1564830,1570847,1564830
41,Oregon,OR,301552,342898,301552,342898,1617650,1631375,1617650,1631375
42,Pennsylvania,PA,746833,935379,746833,935379,5268488,5420637,5268488,5420637
44,Rhode Island,RI,61980,83616,61980,83616,429766,440293,429766,440293
45,South Carolina,SC,368610,475250,368610,475250,1894058,1953671,1894058,1953671
46,South Dakota,SD,53442,63401,53442,63401,358605,348925,358605,348925
47,Tennessee,TN,521616,649691,521616,649691,2576506,2638850,2576506,2638850
48,Texas,TX,2020844,2502864,2020844,2502864,10944943,10871596,10944943,10871596
49,Utah,UT,156974,182926,156974,182926,1294300,1263562,1294300,1263562
50,Vermont,VT,31891,41258,31891,41258,263119,265551,263119,265551
51,Virginia,VA,411485,541910,411485,541910,3527214,3599691,3527214,3599691
53,Washington,WA,422812,490807,422812,490807,3030444,2983826,3030444,2983826
54,West Virginia,WV,148294,179470,148294,179470,734517,730668,734517,730668
55,Wisconsin,WI,330926,407344,330926,407344,2440699,2424517,2440699,2424517
56,Wyoming,WY,27357,36417,27357,36417,262371,244004,262371,244004
72,Puerto Rico,PR,746798,877655,746798,877655,934743,956065,934743,956065
